id,employee_id,date,clock_in,clock_out,break_start,break_end,regular_hours,overtime_hours,total_hours,status,remarks,location_lat,location_lng,created_at,updated_at
3,4,2025-08-30,13:36:17.606350,13:38:42.084968,13:37:27.617726,13:38:04.855679,0.03,0.00,0.03,Present,,10.74613773804401,79.11797110255434,2025-08-30T13:36:17.608329,2025-08-30T13:38:42.085980
5,2,2025-08-30,14:40:14.308520,,,,0.00,0.00,0.00,Present,,,,2025-08-30T14:40:14.332327,2025-08-30T14:40:14.332333
6,1,2025-08-30,14:42:46.221442,,,,0.00,0.00,0.00,Present,,,,2025-08-30T14:42:46.243019,2025-08-30T14:42:46.243024
4,3,2025-08-30,13:50:52.383552,16:01:09.280739,,,2.17,0.00,2.17,Present,,10.746112321434868,79.11797681249341,2025-08-30T13:50:52.407425,2025-08-30T16:01:09.282022
7,4,2025-09-04,14:55:22.551664,,,,0.00,0.00,0.00,Present,,10.802336,78.741083,2025-09-04T14:55:22.625125,2025-09-04T14:55:22.625130
